gene	hits	maxp	avg_af	avg_maf	avg_beta
czcD_2	1	25.1343039401	0.161	0.161	12.9
ponA	2	32.8996294549	0.1225	0.1225	16.7
ktrA	1	14.6655462488	0.141	0.141	8.75
ref_02480	4	32.8996294549	0.1955	0.1955	13.65
salA	7	16.2034256668	0.326742857143	0.326742857143	11.0071428571
coaW	6	12.714442691	0.734966666667	0.265033333333	13.1
lysC	3	32.4134126953	0.565666666667	0.434333333333	15.5666666667
gabR	14	16.2034256668	0.314714285714	0.314714285714	11.3035714286
valS	3	10.369572125	0.5833	0.4167	17.7666666667
rho	3	9.36051351073	0.970333333333	0.0296666666667	12.5
lysS	14	16.2034256668	0.314714285714	0.314714285714	11.3035714286
ilvA	7	16.2034256668	0.326742857143	0.326742857143	11.0071428571
ref_00995	7	8.87289520164	0.5418	0.4582	37.6857142857
ref_02375	37	30.571865206	0.584972972973	0.415027027027	13.9
ref_02470	6	32.4134126953	0.604333333333	0.395666666667	15.3333333333
ref_02471	6	32.4134126953	0.604333333333	0.395666666667	15.3333333333
ddl	2	7.25570701688	0.2205	0.2205	35.65
cggR	4	45.3362990746	0.4349	0.4349	26.025
ref_02577	1	9.43297363384	0.0662	0.0662	7.33
hisC_3	2	25.1343039401	0.1935	0.1935	12.3
ref_02579	1	9.43297363384	0.0662	0.0662	7.33
opuD_1	6	7.83268266525	0.620016666667	0.379983333333	9.585
opuD_3	1	25.1343039401	0.161	0.161	12.9
